dataset_id,model_id,according accuracy
14,864,0.9487
26,479,0.6462
31,538,0.8667
4,672,0.693
26,380,0.5946
18,332,0.9385
31,955,0.9552
38,277,0.888
26,127,0.5634
18,986,0.924
26,943,0.8981
14,829,0.9184
32,168,0.93
26,503,0.8578
26,141,0.5634
26,443,0.9926
14,834,0.95
26,451,0.8544
18,811,0.9215
26,803,0.9157
26,189,0.5092
58,233,0.863
14,550,0.9477
26,358,0.4648
26,261,0.704
18,920,0.927
18,183,0.9265
18,111,0.924
64,323,0.781
31,800,0.8667
14,918,0.9394
26,846,0.9323
26,109,0.9037
26,426,0.1268
26,867,0.7328
31,851,0.904
31,174,0.8767
26,353,0.8603
64,517,0.634
26,389,0.8026
18,103,0.926
31,980,0.8733
65,718,0.884
14,965,0.9165
18,186,0.9365
31,682,0.8633
26,303,0.8456
14,547,0.9426
32,169,0.926
26,126,0.7132
18,726,0.923
18,735,0.928
10,235,0.51
31,628,0.8667
14,242,0.9184
31,843,0.8733
18,461,0.9245
4,457,0.931
64,791,0.587
31,807,0.89
26,949,0.7581
14,586,0.9471
18,312,0.924
18,797,0.926
26,521,0.9125
10,217,0.513
49,775,0.82
18,817,0.9265
18,724,0.921
18,374,0.9245
18,554,0.9255
18,685,0.927
31,543,0.9395
8,193,0.607
8,194,0.59
26,132,0.5634
26,445,0.5779
26,684,0.9014
31,812,0.9297
26,418,0.6562
26,496,0.9014
26,626,0.8314
18,652,0.9315
31,855,0.8767
14,621,0.9471
16,580,0.6745
26,449,0.4838
31,635,0.86
49,778,0.893
14,173,0.9148
18,351,0.9185
18,485,0.917
26,946,0.8657
57,171,0.974
26,125,0.5352
26,413,0.9902
26,944,0.6534
18,316,0.926
54,66,0.989
50,94,0.918
26,165,0.8554
18,272,0.9215
26,190,0.8206
18,884,0.923
14,114,0.9177
18,286,0.922
49,779,0.84
52,89,0.728
64,978,0.205
18,98,0.922
18,912,0.9285
18,745,0.934
18,120,0.9165
14,620,0.9171
64,804,0.642
26,886,0.9151
55,477,0.79
31,484,0.8733
31,597,0.9303
18,248,0.938
55,474,0.709
55,483,0.744
31,638,0.928
14,508,0.9184
26,187,0.945
51,340,0.933
26,446,0.5881
18,741,0.913
18,73,0.8885
26,388,0.5702
26,942,0.9087
18,704,0.923
18,67,0.9275
26,697,0.9404
18,966,0.9235
26,945,0.914
49,774,0.853
10,209,0.499
29,162,0.629
26,520,0.8578
26,356,0.6715
14,679,0.9474
18,805,0.926
26,448,0.4657
18,822,0.9255
26,453,0.1268
31,753,0.8633
64,782,0.967
18,602,0.9265
18,832,0.9215
55,478,0.834
31,564,0.86
18,308,0.937
31,181,0.8567
26,135,0.6173
18,88,0.937
31,321,0.9126
55,472,0.772
31,731,0.925
58,282,0.71
26,417,0.5578
18,663,0.9245
14,143,0.9506
14,743,0.9468
14,489,0.9429
52,91,0.711
18,793,0.9245
26,769,0.9644
26,570,0.8284
26,395,0.5199
14,861,0.9455
18,742,0.9225
18,68,0.928
25,325,0.978
31,646,0.87
26,441,0.9877
4,676,0.737
14,903,0.8265
14,648,0.939
18,831,0.9265
7,609,0.924
12,560,0.788
18,488,0.924
18,651,0.928
31,840,0.9074
18,263,0.9245
11,216,0.896
14,613,0.9255
18,268,0.922
18,192,0.925
18,203,0.9215
14,288,0.9184
26,691,0.6209
18,809,0.922
18,497,0.926
58,223,0.786
26,121,0.911
18,156,0.922
18,309,0.9295
14,896,0.9368
26,290,0.8968
18,833,0.9235
18,155,0.6
18,905,0.924
31,967,0.9361
26,404,0.0845
26,363,0.7721
18,908,0.9255
53,814,0.993
4,153,0.761
18,963,0.925
26,707,0.9584
18,987,0.926
26,433,0.4693
26,857,0.8603
18,847,0.923
26,394,0.491
10,227,0.536
31,645,0.9178
15,506,0.974
26,926,0.8549
31,939,0.866
14,733,0.9468
31,287,0.9302
26,136,0.9083
26,416,0.5717
18,377,0.9285
26,654,0.9014
26,400,0.7867
18,590,0.931
18,631,0.9
14,919,0.9174
31,255,0.8633
26,146,0.848
64,780,0.973
16,578,0.8167
18,317,0.9285
4,601,0.84
26,933,0.8627
26,456,0.8383
41,854,0.822
31,662,0.8667
14,241,0.949
18,545,0.925
18,185,0.929
14,342,0.9406
58,756,0.81
18,808,0.9245
18,762,0.925
18,505,0.927
18,637,0.903
32,170,0.935
14,612,0.9765
26,398,0.4477
18,150,0.924
14,70,0.9465
26,754,0.9438
18,534,0.926
52,90,0.722
26,354,0.9099
18,536,0.9225
14,835,0.9184
58,232,0.783
58,914,0.819
31,243,0.86
42,785,0.905
18,874,0.925
18,487,0.924
18,251,0.933
18,595,0.921
14,768,0.9703
31,996,0.8733
26,421,0.5523
52,92,0.711
64,781,0.973
18,711,0.9215
31,552,0.8767
26,990,0.9356
26,260,0.9119
26,412,0.8848
18,344,0.9205
26,105,0.8382
26,428,0.8505
26,932,0.9278
43,558,0.904
46,870,0.84
31,795,0.9319
26,138,0.8231
18,462,0.925
26,408,0.5634
26,313,0.906
12,561,0.761
26,569,0.8284
55,481,0.754
14,687,0.9187
26,696,0.9151
46,772,0.82
18,334,0.9245
18,916,0.9195
18,750,0.9265
18,632,0.892
18,969,0.923
26,137,0.5634
32,82,0.9
26,370,0.8943
64,868,0.685
18,729,0.9245
18,606,0.917
18,347,0.834
11,215,0.879
18,789,0.927
31,539,0.8667
31,328,0.909
35,541,0.085
18,907,0.925
26,423,0.4982
26,661,0.9014
18,953,0.9225
31,670,0.9267
26,765,0.9197
53,656,0.998
14,144,0.9184
18,553,0.9305
26,175,0.9346
18,863,0.929
26,866,0.9153
26,429,0.6099
14,548,0.9181
18,636,0.9265
57,172,0.97
18,937,0.924
64,618,0.24
26,530,0.9358
18,149,0.923
26,373,0.3803
26,526,0.902
18,294,0.924
18,954,0.9225
18,650,0.9305
58,231,0.567
31,839,0.9776
52,93,0.726
18,589,0.9225
18,802,0.9265
26,405,0.1268
14,551,0.9184
61,788,0.826
18,849,0.924
18,247,0.9245
18,981,0.922
26,571,0.8824
26,432,0.4874
18,882,0.939
18,683,0.924
6,152,0.818
31,297,0.87
20,299,0.929
18,599,0.902
18,69,0.927
18,667,0.9215
18,196,0.912
26,693,0.8949
18,491,0.9245
11,211,0.868
18,879,0.929
0,318,0.938
26,970,0.8529
26,383,0.5655
18,764,0.9215
58,222,0.561
14,904,0.9158
14,862,0.9174
18,798,0.8945
18,888,0.924
18,246,0.9245
38,178,0.923
31,641,0.86
26,934,0.848
26,360,0.6643
2,102,0.815
18,594,0.9245
26,349,0.8326
14,257,0.9161
41,265,0.799
58,204,0.46
18,202,0.927
14,876,0.9177
26,357,0.9232
31,459,0.9314
60,703,0.74
18,928,0.9215
31,329,0.8733
4,700,0.583
18,549,0.9245
18,936,0.928
7,721,0.924
47,604,0.908
10,213,0.494
26,852,0.8219
46,960,0.841
26,106,0.9068
41,959,0.836
9,819,0.812
18,709,0.924
18,746,0.9275
18,310,0.9265
26,504,0.8456
18,494,0.926
18,915,0.919
31,559,0.8767
26,712,0.5819
41,264,0.908
7,767,0.922
26,409,0.656
26,407,0.1268
22,197,0.749
18,565,0.9265
18,728,0.9245
19,320,0.99
18,375,0.8955
26,140,0.6895
14,71,0.9174
18,562,0.923
16,582,0.8691
26,452,0.8635
56,713,0.802
26,902,0.9255
26,447,0.4621
26,362,0.7675
18,305,0.9255
21,575,0.98
31,330,0.8667
26,128,0.507
26,402,0.7878
18,794,0.923
14,348,0.9155
10,218,0.548
26,410,0.6312
31,460,0.8733
51,339,0.929
18,633,0.934
26,355,0.9084
26,75,0.8578
18,643,0.934
18,757,0.932
46,542,0.839
54,291,0.989
18,86,0.9215
4,556,0.934
14,740,0.9729
14,507,0.9432
14,665,0.9461
18,906,0.924
18,302,0.929
18,607,0.918
14,761,0.9529
14,304,0.9168
26,524,0.9323
26,396,0.5054
18,931,0.9245
26,531,0.5634
26,860,0.8603
18,279,0.9205
18,850,0.9315
14,343,0.9187
14,964,0.9303
26,122,0.7581
26,164,0.8968
18,610,0.925
18,119,0.9175
26,994,0.7034
18,516,0.9205
18,87,0.9345
32,83,0.94
18,660,0.925
18,555,0.9245
26,366,0.6282
18,625,0.925
58,653,0.716
16,579,0.8235
58,230,0.458
18,836,0.9005
62,322,0.75
31,657,0.8767
31,708,0.9214
26,422,0.5199
64,179,0.553
18,664,0.9235
18,350,0.923
14,262,0.9158
14,844,0.9116
14,256,0.9468
18,658,0.915
31,922,0.88
14,614,0.9323
14,281,0.9742
26,378,0.8199
4,759,0.748
18,989,0.933
34,630,0.793
26,406,0.1268
26,444,0.5923
18,810,0.9215
18,877,0.927
26,502,0.875
14,252,0.9458
26,387,0.5702
8,195,0.624
46,820,0.839
14,982,0.9184
27,546,0.583
31,749,0.8633
26,525,0.5634
26,498,0.8775
14,739,0.94
18,540,0.923
18,324,0.923
26,166,0.9033
26,522,0.91
18,892,0.925
31,644,0.87
26,139,0.5634
18,669,0.9405
26,129,0.7917
53,655,0.992
11,228,0.876
31,668,0.8767
64,315,0.586
18,512,0.9245
9,818,0.814
14,514,0.9352
18,642,0.9265
13,259,0.716
25,940,0.862
31,923,0.88
14,160,0.9458
26,455,0.1268
64,723,0.562
25,872,0.992
11,238,0.895
18,983,0.921
18,827,0.922
18,573,0.924
26,763,0.9209
26,130,0.7917
15,532,0.976
18,909,0.926
18,96,0.9365
18,968,0.928
18,938,0.927
26,690,0.8627
26,131,0.6643
31,278,0.8667
25,718,0.89
32,81,0.902
18,957,0.919
31,300,0.8633
26,436,0.7936
18,585,0.92
26,368,0.5493
