"dataset_id","Licenses","Size_categories","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16"
"0","0","0","0.025034222","0.003197307","0.013934673","-0.013116372","0.012825018","-0.020437879","-0.014044135","0.00361644","0.006384398","0.003537783","-0.023129622","0.006931678","0.004364411","-0.004095636","-0.003078269","0.004268744"
"1","0","1","0.037312369","0.012165398","0.021228139","-0.026169633","0.013585715","-0.025983698","-0.016652854","-0.00276942","0.013701954","0.008139658","-0.036310745","0.008130894","0.014083192","-0.005161969","0.003845415","0.009942865"
"2","1","2","0.017211048","0.004627765","0.007154939","-0.011390297","0.008058524","-0.013901143","-0.005063776","-0.003218153","-0.001625476","0.000959343","-0.010428579","-0.004005234","0.008343671","-0.008624659","0.002013435","0.000405019"
"3","2","3","0.025695501","0.008171377","0.015038807","-0.025141576","0.009066592","-0.032023162","-0.015498324","-0.004472205","0.005749498","0.008614471","-0.029289998","0.012309427","0.011674579","-0.003868637","-0.002635317","-0.003028448"
"4","3","4","0.02757342","0.010065329","0.01470798","-0.018398683","0.013068658","-0.028164427","-0.011713705","0.002461974","0.007283385","0.002274472","-0.026866018","0.006381891","0.007245254","-0.003877263","-0.002586272","0.005021325"
"5","3","5","0.022225751","0.007031562","0.0114459","-0.016625481","0.008747633","-0.033430842","-0.011267287","-0.005748111","0.000501255","0.010543308","-0.019515271","0.006136408","0.006693038","0.001409474","-0.005747929","-0.005082227"
"6","0","0","0.025526803","0.00834814","0.01268987","-0.020517056","0.01552559","-0.025468937","-0.006684519","0.002629071","0.007716976","0.007195426","-0.026879703","0.004888606","0.006415821","-0.008339306","-0.001626984","0.004063364"
"7","4","1","0.016272934","0.005860579","0.011732007","-0.005592342","0.016349426","-0.022517809","-0.012859093","0.00823285","0.008450693","0.002545137","-0.026693367","-0.001005264","-0.006700613","-0.002229549","-0.008926362","-0.003960226"
"8","5","6","0.038489386","0.014168884","0.007220183","-0.013507136","0.007098679","-0.019796767","-0.010552549","-0.001473466","0.012661931","-0.002764456","-0.028196524","0.003479753","0.009345294","-0.004641711","-0.005770023","0.005296071"
"9","2","0","0.03556017","0.010804386","0.021208701","-0.010780967","0.011619973","-0.023956851","-0.01926628","0.004278647","0.005471742","0.003222676","-0.02524921","0.00504139","0.011573996","-0.005320836","-0.006319203","0.006543836"
"10","3","7","0.026489352","0.008673729","0.010365079","-0.001865158","-0.000636101","-0.017624771","-0.008873555","0.010760961","-0.003728009","-0.00140585","-0.024744261","0.002351744","0.009310744","-0.004682738","0.000243676","0.011319871"
"11","3","7","0.022285493","0.007483925","0.009360143","0.000953764","-0.004613048","-0.015965688","-0.008136305","0.009185062","-0.004635683","0.002164513","-0.022184494","0.000418813","0.003582245","-0.002229438","0.000760522","0.013438279"
"12","6","1","0.015202964","0.008077713","0.00878462","-0.013078732","0.011504375","-0.020635424","-0.006108561","0.005545408","0.006002799","-0.000446079","-0.01747698","-0.004163082","-0.002903709","-0.00101222","-0.001632483","0.00950145"
"13","1","6","0.025931596","0.007850445","0.016490717","-0.021618484","0.013156841","-0.02672159","-0.018068425","-0.005683111","0.004210687","0.003420902","-0.029993115","0.010154591","0.007957651","-0.018518374","-0.003047895","-0.000716226"
"14","7","1","0.017910386","0.005923219","0.013303117","-0.008890872","0.011218108","-0.018810268","-0.010131133","0.009499002","0.006358012","-0.000145275","-0.018129579","0.004168616","0.000765297","-0.009200952","-0.004471967","0.002097864"
"15","4","0","0.01538342","0.00506204","0.00940633","-0.008357881","0.013181704","-0.015417409","-0.005014573","0.004187609","0.002955156","0.007282892","-0.017263405","0.00070096","0.000699241","-0.009124304","-0.004507158","0.003993081"
"16","8","3","0.016529391","-0.000813505","0.006923884","-0.008198065","0.005279795","-0.020092002","-0.00677312","0.001860247","-0.001860692","0.000902995","-0.021940747","-0.002039629","-0.004783519","-0.007113584","-0.003363801","0.007296879"
"17","1","2","0.027582181","0.002127357","0.008478228","-0.008955836","0.015268634","-0.026208347","-0.008140415","0.002712811","0.004760001","-0.002312757","-0.023636833","-0.008334318","0.01122636","-0.009440126","-0.005026213","-0.003543007"
"18","3","1","0.018929097","0.00850646","0.01469071","-0.01338573","0.00260362","-0.0299178","-0.012630264","0.008262307","0.006128773","-0.005100875","-0.025142785","0.011463679","0.004988688","-0.004390354","-0.002656606","0.007122284"
"19","9","0","0.021103201","0.008579415","0.017828603","-0.01200431","0.004244196","-0.020190528","-0.011446975","0.004973271","0.006130169","0.002182515","-0.021539087","0.007225019","0.00896973","-0.005691991","-1.24E-5","0.009083304"
"20","6","0","0.039460959","0.006375326","0.01576286","-0.017471805","0.012069932","-0.019688363","-0.016242502","-0.001490263","0.014231461","-0.002484771","-0.031001252","0.00398463","0.008191308","-0.003199035","-0.007643175","0.004435305"
"21","4","1","0.026465985","0.008362638","0.009913582","-0.01067876","0.011864385","-0.028037664","-0.011175956","0.001234942","0.005372965","0.005602314","-0.021255442","0.006376591","0.002083235","-0.007452789","-0.006605698","0.003638343"
"22","10","0","0.021249","0.008684143","0.006727518","-0.010438033","0.011785057","-0.018333744","-0.00527519","0.003122756","0.003674888","-0.001256015","-0.017702337","0.000874323","0.008306535","-0.006741122","-0.004214039","0.003125521"
"23","5","1","0.023299467","0.007406502","0.018845675","-0.022362852","0.01223357","-0.028491029","-0.009616077","0.00228364","0.009020162","0.005181495","-0.026709974","0.002601624","0.011507908","-0.006223097","0.001795644","0.003104424"
"24","0","1","0.015211173","0.005593036","0.008532112","-0.009441375","0.006670911","-0.015711375","-0.009343645","0.008533239","0.004729724","-0.003760818","-0.012622558","0.008170818","0.007766644","-0.008931428","0.001085555","0.008217292"
"25","0","1","0.030860725","0.002871263","0.013111473","-0.014935262","0.011669513","-0.029494321","-0.005321934","0.005396513","0.004113821","-0.003775276","-0.026259416","0.001010708","0.015333097","-0.006386386","0.000918221","0.014116674"
"26","11","2","0.031605493","0.000603918","0.019790728","-0.015742315","0.016571486","-0.029024677","-0.017947156","0.002461972","0.005122612","0.002528277","-0.038029296","0.008861539","0.011445643","-0.006486947","-0.009175963","0.002497775"
"27","4","1","0.030806346","0.006821391","0.016484597","-0.016200699","0.00812698","-0.026559045","-0.014478987","0.001821548","0.003661286","0.001049407","-0.025735377","0.007730906","0.011762585","-0.007365295","-0.005875529","-0.000188344"
"28","2","8","0.020608345","0.013308641","0.007175151","-0.011842542","0.003375505","-0.012983449","-0.008894763","0.003306707","0.005199752","0.000413362","-0.009739542","0.000943002","0.00449706","-0.007229224","-0.004555421","0.003626191"
"29","4","1","0.014156771","0.002110777","0.006312841","-0.007207429","0.006532032","-0.01037136","-0.005051178","0.002472362","0.003876563","0.001356646","-0.014256218","0.003533752","0.002457815","-0.002235967","-0.004033333","0.002265566"
"30","5","1","0.024228158","0.006516391","0.009442295","-0.012260817","0.008433074","-0.021137825","-0.004116939","0.002093006","0.006382793","0.000291916","-0.021817894","0.006589757","0.005845357","-0.001680772","-0.0048505","0.001877092"
"31","3","0","-0.014978473","0.005197681","0.018928987","-0.000146144","0.011212543","-0.00818323","0.013777129","-0.000664051","0.010782477","0.013720592","-0.001033216","-0.004953653","-0.000168284","-0.004682039","0.016309915","0.000628992"
"32","3","1","0.029308115","0.008569235","0.01768097","-0.018565156","0.011322368","-0.02297043","-0.016051849","0.003534197","0.005746062","0.005103235","-0.028538625","0.006641038","0.006871396","-0.008437101","-0.002706965","0.005003093"
"33","5","9","0.017348872","0.007670429","0.009373736","-0.013626208","0.005972511","-0.017685341","-0.00878254","0.006537667","0.003947792","0.001793619","-0.018163676","-0.000819605","0.005066915","-0.002608897","-0.001225061","-0.000695383"
"34","3","2","-0.00254764","-0.000795066","0.015447068","-0.013580206","0.019813424","-0.02254931","0.004228328","0.00169337","0.019784805","0.006598055","0.012723797","0.005330543","0.009630267","-0.00030617","-0.0048557","0.002054051"
"35","1","1","0.021548109","0.004765131","0.012955047","-0.012071467","0.010168064","-0.021791499","-0.012938588","0.009709099","0.002346609","-0.001204815","-0.024948373","0.006471556","0.002186677","-0.00531093","0.000192942","0.003278174"
"36","2","8","0.020184051","0.012903531","0.006772082","-0.012788573","0.002689706","-0.012182078","-0.009807058","0.003720623","0.006264825","-0.001990788","-0.007641996","0.001671003","0.004699038","-0.006520123","-0.002773945","0.004369707"
"37","0","1","0.028411586","0.005750821","0.022642294","-0.017213718","0.016631394","-0.025727829","-0.019257227","0.005678742","0.003730231","0.002701184","-0.035324552","0.007811308","0.013636091","-0.008341374","-0.008967184","0.005731683"
"38","0","6","0.006861248","0.005864148","0.010139219","-0.008539631","0.005114908","-0.018367363","-0.006353449","0.010865345","-0.011905309","0.011256515","-0.022358619","0.009558508","0.023454759","-0.011439749","-0.018282672","-0.006963437"
"39","12","0","0.023524137","0.009109993","0.015542729","-0.017409509","0.015604097","-0.026824257","-0.018447703","0.008440805","0.006505759","-0.002815476","-0.025660611","0.006784687","0.008171186","-0.008709577","-0.004795456","0.006686945"
"40","13","0","0.032618217","0.014521336","0.016590661","-0.025743623","0.018537404","-0.031378296","-0.011382035","0.000684138","0.007951078","0.003323856","-0.03614905","0.007247114","0.007844618","-0.011947199","0.004221315","0.007780769"
"41","3","1","0.024725316","0.00036824","0.009890354","-0.013683047","0.013382665","-0.027279452","-0.010376787","0.008344689","0.005486004","-0.002191352","-0.026682936","0.002190035","0.005158961","-0.003692646","-0.000204955","0.000338438"
"42","6","6","0.017276853","0.007038516","0.01029383","-0.004591411","0.011358911","-0.013195525","-0.010098703","0.004417612","0.00378324","-0.001450689","-0.012104152","1.16E-5","0.001312999","-0.007229972","-0.006427958","0.005742345"
"43","4","2","0.041541462","0.015699625","0.026324015","-0.00577088","0.021217504","-0.024693468","-0.019237261","0.00924098","0.016412351","0.004403496","-0.040127978","0.011534363","0.009245665","-0.003448787","-0.005655946","-0.000559512"
"44","0","0","0.035143231","0.007502266","0.01578473","-0.008690026","0.022361684","-0.029036456","-0.01617845","0.006884063","0.007780387","-1.71E-5","-0.036060299","-0.003446825","0.012734682","-0.00922975","-0.007605094","0.004699671"
"45","1","1","0.014085235","0.009287211","0.00586237","-0.008180889","0.008097324","-0.016245837","-0.005642641","0.002002821","0.006436451","0.0026452","-0.011930419","0.006537232","0.005410314","-0.002173954","-0.000464416","0.005293718"
"46","0","2","0.020164553","0.011694297","0.01581308","-0.019626634","0.010828412","-0.020647968","-0.012386042","-0.004872016","0.005680039","0.005809115","-0.029260951","0.00734139","0.010318781","-0.006944125","0.000937756","0.00208052"
"47","0","6","0.029743385","-0.001240552","0.009826737","-0.006785586","0.014416391","-0.01459895","-0.011043859","0.009585968","0.002663681","-0.003747859","-0.025437009","-0.002552234","0.007189937","-0.005301024","0.003832384","-0.001093233"
"48","0","2","0.034783743","0.006594423","0.017997697","-0.00784647","0.011214033","-0.018449041","-0.013656729","0.006567301","0.003016998","0.000765241","-0.025001648","0.004487322","0.009729591","-0.00249198","0.002258144","0.005320467"
"49","0","6","0.027343045","0.011392539","0.01561396","-0.010206352","0.007824908","-0.027814699","-0.015413947","0.008161711","0.003833452","0.00508449","-0.028580625","0.012243246","0.009330258","-0.003416382","-0.001403471","-9.20E-5"
"50","0","6","0.013086444","0.00646739","0.001692446","0.004000626","0.001956739","0.000944465","0.006015505","-0.017474894","-0.011478458","-0.02262281","-0.009601643","-0.002261919","0.006733669","0.026606959","-0.019831877","-0.004650402"
"51","1","6","0.033218862","0.013271987","0.024364263","-0.024325965","0.018272739","-0.042381819","-0.021148684","0.011172965","0.002546435","-0.001492471","-0.039230978","0.004877678","0.009621965","-0.002840383","-0.010102059","0.01003577"
"52","1","10","0.027081265","0.002583497","0.014654225","-0.014875613","0.013779528","-0.023034809","-0.016907825","0.006645727","0.002889045","-0.005679372","-0.029120796","0.001840075","0.0084521","-0.004904929","-0.00709088","0.004644558"
"53","0","2","0.027189452","0.007339005","0.014719245","-0.015212573","0.010530741","-0.016050113","-0.0066678","-0.000103287","0.008828861","0.005438136","-0.021865556","-0.003694363","0.004105103","-0.009618816","0.000807643","-0.007510011"
"54","0","1","0.030353455","0.022498723","0.020957274","-0.02214888","0.013117435","-0.034338088","-0.024018066","0.004127006","0.008057008","0.00458366","-0.040094301","0.008401111","0.013725076","-0.0099709","-0.003508443","0.005268467"
"55","1","2","0.025928743","0.010004756","0.006125646","-0.008623497","0.009702449","-0.024491105","-0.016785952","0.00750602","0.003531783","-0.002939668","-0.031493735","-0.005955528","0.005303325","-0.007825756","-0.010385602","0.002564224"
"56","0","1","0.020790975","0.006698545","0.010739279","-0.008429578","0.009595444","-0.01697162","-0.012013008","0.003072602","0.003715675","0.004170209","-0.025700971","0.002623163","0.005482853","-0.006272424","-0.005827486","0.003709335"
"57","0","2","0.033242142","0.014977059","0.0158347","-0.011861446","0.012407644","-0.022198089","-0.01161074","0.008433183","0.004050451","0.007354398","-0.030453473","0.000197735","0.007927271","-0.004087898","-0.003598677","0.004179066"
"58","0","11","0.032838376","0.004199651","0.015665292","-0.008456003","0.008094429","-0.0191575","-0.013374493","0.005577316","0.003164942","-0.005360978","-0.028315283","0.008030595","0.00605587","-0.005015728","0.000480244","0.002967042"
"59","0","1","0.030047055","0.005437196","0.007429521","-0.018404034","0.011021318","-0.025550869","-0.008934807","0.006164613","0.011631212","0.000168211","-0.025157746","0.00664497","0.008678424","-0.008486173","-0.000343078","0.00484671"
"60","14","8","0.028319583","0.003668807","0.0147706","-0.012333025","0.012473718","-0.026474905","-0.013466803","0.004364286","0.002430488","0.003979908","-0.029064023","2.63E-5","0.009180347","-0.009954618","-0.006971581","0.004166478"
"61","0","6","0.019117798","0.006924231","0.013131772","-0.017056628","0.008796447","-0.021800233","-0.01474936","0.006227095","0.003877726","0.005254268","-0.0306103","0.001403849","0.006432431","-0.007261776","-0.00265628","0.002973273"
"62","0","3","0.037312069","0.010336496","0.014127699","-0.018743069","0.015076277","-0.037563582","-0.015760952","0.014259594","0.008174423","0.00483089","-0.034659078","0.005804468","0.005875709","-0.009112197","0.001246478","0.013719996"
"63","0","6","0.026009341","0.010832205","0.017084588","-0.015845778","0.01577951","-0.027117443","-0.016595627","0.003597299","0.005324091","0.002113117","-0.026415027","0.007598571","0.009518248","-0.007011166","-0.004880936","0.006763107"
"64","3","0","0.025715519","0.01188797","0.016566919","-0.018134986","0.021026761","-0.036056913","-0.018490638","0.00242775","0.002531858","0.000715054","-0.029196423","0.006693385","0.005483194","-0.007920446","-0.005946677","0.005250518"
"65","5","1","0.035484387","0.004584112","0.018728628","-0.00859249","0.018021046","-0.034186297","-0.017310467","0.006231064","0.004915523","-0.002482806","-0.030810657","0.002624275","0.003750106","-0.008838082","-0.004513302","0.015990706"
